# node_name x,y IP level_optional
node_0 39,25 127.0.0.1 0
node_1 48,12 127.0.0.1 1
node_2 44,91 127.0.0.1 0
node_3 11,51 127.0.0.1 0
node_4 34,42 127.0.0.1 0
node_5 49,86 127.0.0.1 0
node_6 67,35 127.0.0.1 2
node_7 59,43 127.0.0.1 0
node_8 4,69 127.0.0.1 1
node_9 18,87 127.0.0.1 0
node_10 36,53 127.0.0.1 0
node_11 68,55 127.0.0.1 1
node_12 35,57 127.0.0.1 0
node_13 35,91 127.0.0.1 0
node_14 27,37 127.0.0.1 0
node_15 86,95 127.0.0.1 0
node_16 89,98 127.0.0.1 0
node_17 83,33 127.0.0.1 0
node_18 0,63 127.0.0.1 0
node_19 100,49 127.0.0.1 1
node_20 7,69 127.0.0.1 0
node_21 64,21 127.0.0.1 1
node_22 40,85 127.0.0.1 0
node_23 88,35 127.0.0.1 2
node_24 23,43 127.0.0.1 0
node_25 49,18 127.0.0.1 0
node_26 49,87 127.0.0.1 0
node_27 84,71 127.0.0.1 0
node_28 48,33 127.0.0.1 1
node_29 7,34 127.0.0.1 0
node_30 59,69 127.0.0.1 0
node_31 89,17 127.0.0.1 0
node_32 39,9 127.0.0.1 0
node_33 78,16 127.0.0.1 0
node_34 83,37 127.0.0.1 2
node_35 10,80 127.0.0.1 0
node_36 78,13 127.0.0.1 0
node_37 51,24 127.0.0.1 0
node_38 61,4 127.0.0.1 0
node_39 28,98 127.0.0.1 1
node_40 13,61 127.0.0.1 0
node_41 91,24 127.0.0.1 0
node_42 44,45 127.0.0.1 0
node_43 98,32 127.0.0.1 1
node_44 44,3 127.0.0.1 0
node_45 21,53 127.0.0.1 0
node_46 30,46 127.0.0.1 1
node_47 58,40 127.0.0.1 0
node_48 50,93 127.0.0.1 0
node_49 29,21 127.0.0.1 0
node_50 45,40 127.0.0.1 0
node_51 90,12 127.0.0.1 0
node_52 0,66 127.0.0.1 0
node_53 91,56 127.0.0.1 0
node_54 31,41 127.0.0.1 0
node_55 48,84 127.0.0.1 0
node_56 77,48 127.0.0.1 2
node_57 10,27 127.0.0.1 0
node_58 96,82 127.0.0.1 0
node_59 67,72 127.0.0.1 1
node_60 21,35 127.0.0.1 0
node_61 12,70 127.0.0.1 1
node_62 15,56 127.0.0.1 1
node_63 13,72 127.0.0.1 0
